id-snippet	n-sentences	n-words	n-nouns	n-adj	n-verbs	n-entities	n-vague	n-concrete	n-conditionals	
hr5114-101.1	20	839	441	83	87	76	3	4	5	Provides for the enforcement of all provisions of law that impose sanctions against countries engaged in gross violations of human rights and that support terrorism against Iraq. Calls on the President to seek multilateral cooperation to: (1) deny dangerous technologies to Iraq; and (2) induce Iraq to respect internationally recognized human rights and to allow international humanitarian and human rights organizations to have access to Iraq and Kuwait. Prohibits, as part of the sanctions against Iraq: (1) any sales to Iraq under the Arms Export Control Act; (2) the issuance of licenses for the export to Iraq of items on the U.S. Munitions List; (3) exports to Iraq of certain goods or technology listed under the Export Administration Act of 1979; (4) the issuance of licenses of authorizations under the Atomic Energy Act of 1954 for the export to Iraq of nuclear materials, facilities, and technology; (5) U.S. support for loans or financial or technical assistance to Iraq by international financial institutions; (6) the provision of credits and other assistance to Iraq through the Commodity Credit Corporation; and (7) the provision of assistance under the Foreign Assistance Act of 1961 and the Arms Export Control Act other than emergency medical and humanitarian assistance. Authorizes the President to waive any sanction within 60 days after certifying to the Congress that: (1) the Iraqi Government has demonstrated substantial improvement in respect for human rights; (2) the Iraqi Government is not acquiring, developing, or manufacturing ballistic missiles or chemical, biological, or nuclear weapons or components for such weapons, has forsworn the first use of such weapons, and is taking steps to dispose of such weapons; (3) the Iraqi Government does not support international terrorism; (4) the Iraqi Government is in compliance with international law; and (5) the President determines that such waiver is in U.S. national security interests. Requires the President to continue the trade embargo and other economic sanctions with respect to Iraq and Kuwait. Sets forth provisions concerning congressional notification with respect to the termination of sanctions. Prohibits any assistance made available pursuant to this Act to carry out the Foreign Assistance Act of 1961 or the Arms Export Control Act to be provided to any country that is not in compliance with the United Nations Security Council sanctions against Iraq unless the President certifies to the Congress that such assistance: (1) is in the U.S. national interest; (2) will directly benefit the needy people in such country; or (3) will be humanitarian assistance for foreign nationals who have fled Iraq and Kuwait. Authorizes the President, if the taking of such action would promote the effectiveness of economic sanctions against Iraq, to prohibit the importation into the United States of any products of a foreign country that has not prohibited the importation of Iraqi products into its customs territory and the export of products to Iraq. Prescribes civil and criminal penalties for violations of specified Executive Orders concerning sanctions against Iraq. Calls for the immediate and unconditional withdrawal of Iraqi forces from Kuwait. Supports the efforts of the United Nations Security Council and the imposition and enforcement of multilateral sanctions against Iraq. Calls on U.S. allies and other countries to bring about an end to Iraq's occupation of Kuwait. Condemns Iraq's human rights violations in Kuwait. Directs the President to keep the Congress fully informed and to consult with the Congress with respect to current and anticipated events regarding Iraq's invasion of Kuwait. Permits the President to waive any sanction within 30 days after certifying to the Congress that: (1) there has been a fundamental change in the leadership of the Iraqi Government; and (2) the Iraqi Government has provided assurances that it respects human rights, will not acquire, manufacture, or use and will destroy chemical, biological, or nuclear weapons and ballistic missiles, will not provide support for international terrorism, and will comply with obligations under international law. Prohibits the use of funds appropriated by any Act to approve the licensing for export of any supercomputer to any country that is assisting Iraq in improving rocket technology or chemical, biological, or nuclear weapons capability. Directs the President to begin negotiations with governments with which the United States has bilateral supercomputer agreements on conditions restricting the transfer to Iraq of supercomputer or associated technology. Requires the President to study and report to specified congressional committees on: (1) the sale, export, and third party transfer or development of nuclear, biological, chemical, and ballistic missile technology to or with Iraq; (2) Iraq's offensive military capability and its effect on the Middle East balance of power; and (3) steps taken by other nations to curtail the export of goods, services, and technologies to Iraq that might enhance Iraq's nuclear, biological, chemical, and ballistic missile capability. Directs the President to provide a complete accounting of international compliance with each of the United Nations Security Council sanctions resolutions against Iraq and to list each country that has provided any assistance to Iraq and the amount and type of assistance in violation of each United Nations resolution.
hr5114-101.2	5	159	77	21	21	9	2	1	1	Requires the delivery of excess defense articles to NATO allies and major non-NATO allies on the southern and southeastern flank of NATO to be given priority over the delivery of such articles to other countries. Prohibits, six months after this Act's enactment, the expenditure of funds made available pursuant to this Act to provide assistance to Yugoslavia. Directs the Secretary of the Treasury to instruct the U.S. executive directors to international financial institutions to oppose any assistance to Yugoslavia. Exempts from such prohibition assistance to support democratic parties or movements and emergency and humanitarian assistance. Makes such prohibition inapplicable if: (1) all the individual republics of Yugoslavia have held free and fair elections and are not engaged in a pattern of human rights violations; or (2) the Secretary of State certifies that Yugoslavia is making significant strides toward complying with the Helsinki Accords and is encouraging any republic which has not held free and fair elections to do so.
hr5114-101.3	1	56	29	4	5	3	2	1	1	Prohibits making available any ESF or foreign military financing assistance for Kenya unless the President reports to the Congress that the Kenyan Government is taking steps to: (1) charge and try or release all prisoners; (2) cease physical abuse or mistreatment of prisoners; (3) restore the independence of the judiciary; and (4) restore freedoms of expression.
hr5114-101.4	1	110	49	14	12	11	1	0	2	Prohibits the obligation of funds for the European Bank for Reconstruction and Development until the President reaches an agreement with the Polish Government or other creditors which accurately reflects the collectability of Polish debts to the United States and adjusts the amount of debt and debt service payable to the United States, subject to the following conditions: (1) an IMF agreement is in effect with respect to Poland and it is the intent of the Polish Government to continue the program; (2) the recent change of the Polish Government into a democracy is being maintained; and (3) the Polish Government is seeking comparable treatment of public and private external debt.
hr5114-101.5	1	27	13	1	6	2	1	0	0	Prohibits assistance to countries which fail to take steps to prevent illicit drugs from being sold to U.S. Government personnel or from entering the United States illegally.
hr5114-101.6	2	45	23	1	8	2	1	0	0	Requires agreements for the sale or provision of articles on the U.S. Munitions List to expressly state that such articles will be provided only with the understanding that they will not be transferred to Cyprus or used to further the severance or division of Cyprus.
hr5114-101.7	12	465	254	39	74	33	2	0	3	Limits the amount of military assistance for El Salvador for FY 1991. Prohibits the provision of such assistance if the President reports to the Congress that: (1) the El Salvadoran Government has declined to participate in negotiations for a permanent settlement and cease-fire to the armed conflict; (2) the El Salvadoran Government has failed to support an active role for the United Nations Secretary General in mediating such settlement; (3) the El Salvadoran Government has rejected a specified settlement plan; (4) the El Salvadoran Government has failed to conduct an investigation into, and prosecution of those responsible for, the murders at the University of Central America; (5) the El Salvadoran military and security forces are engaging in violent acts against civilians or are failing to control such activities by elements subject to their control; or (6) the El Salvadoran Government has failed to seek and encourage a law enforcement service from outside El Salvador to monitor El Salvadoran investigators in their investigation into the murders at the University of Central America. Provides for the resumption of such assistance pursuant to a law enacted by the Congress. Withholds 50 percent of military assistance allocated for FY 1991. Releases such assistance only if: (1) the Farabundo Marti National Liberation Front has declined to participate in settlement negotiations or has failed to support the Secretary General's role in mediating such settlement; (2) the FMLN has rejected a specified settlement plan; (3) the survival of the El Salvadoran Government is being jeopardized by FMLN actions; (4) proof exists that the FMLN is continuing to acquire significant shipments of lethal military assistance from outside El Salvador; or (5) the FMLN is engaging in violent acts against civilians or is failing to control such activities by elements subject to its control. Authorizes the expenditure of ten percent of the military assistance deposited in the Demobilization and Transition Fund to carry out judicial reforms in El Salvador if the President certifies to the Congress that the El Salvadoran Government has made significant progress in establishing an independent civilian judiciary and prosecutorial and investigative system. Sets forth conditions for meeting the progress requirement. Prohibits U.S. assistance to El Salvador if the elected head of the government is deposed by military coup or decree. Provides for the resumption of such assistance pursuant to a law enacted by the Congress. Establishes the Demobilization and Transition Fund to assist in monitoring a settlement of the conflict and in demobilizing combatants in such conflict and aiding their transition to peaceful pursuits. Makes amounts in the Fund available only if the President notifies the Congress that a permanent settlement of the conflict has been reached. Transfers withheld military assistance to the Fund on the date of such notification or on September 30, 1991, if no notification has occurred.
hr5114-101.8	2	24	15	3	4	1	1	0	0	Earmarks specified amounts of ESF assistance for ... Prohibits such funds from being provided to any country whose government engages in consistent human rights violations.
hr5114-101.9	1	11	7	2	0	4	2	0	0	Prohibits any foreign military financing for Zaire, Sudan, Liberia, or Somalia.
hr3199-109.1	3	187	90	26	24	6	1	0	2	Amends the Foreign Assistance Act of 1961 to require an additional section in the President's international narcotics control strategy report that: (1) identifies the five countries that exported the largest amount of pseudoephedrine, ephedrine, and phenylpropanolamine; (2) identifies the five countries that imported the largest amount of such chemicals and have the highest rate of diversion of such chemicals for the use in the illicit production of methamphetamine; and (3) includes an economic analysis of the total worldwide production of such chemicals compared to the legitimate demand for such chemicals. Withholds 50% of the U.S. assistance allocated each fiscal year for countries so identified unless the country has either cooperated fully with the United States or has taken adequate steps on its own to achieve full compliance with established United Nations goals and objectives, unless the vital national interests of the United States prevent withholding such funds. Requires the Secretary of State to submit to Congress a comprehensive plan to address the diversion of chemicals to the illicit production of methamphetamine for each identified country for which the President has not submitted a certification of full cooperation.
