	content	id-snippet	count_countries	mentions_countries
0	provides for the enforcement of all provisions of law that impose sanctions against countries engaged in gross violations of human rights and that support terrorism against iraq calls on the president to seek multilateral cooperation to   deny dangerous technologies to iraq and   induce iraq to respect internationally recognized human rights and to allow international humanitarian and human rights organizations to have access to iraq and kuwait prohibits as part of the sanctions against iraq   any sales to iraq under the arms export control act   the issuance of licenses for the export to iraq of items on the u s munitions list   exports to iraq of certain goods or technology listed under the export administration act of     the issuance of licenses of authorizations under the atomic energy act of   for the export to iraq of nuclear materials facilities and technology   u s support for loans or financial or technical assistance to iraq by international financial institutions   the provision of credits and other assistance to iraq through the commodity credit corporation and   the provision of assistance under the foreign assistance act of   and the arms export control act other than emergency medical and humanitarian assistance authorizes the president to waive any sanction within   days after certifying to the congress that   the iraqi government has demonstrated substantial improvement in respect for human rights   the iraqi government is not acquiring developing or manufacturing ballistic missiles or chemical biological or nuclear weapons or components for such weapons has forsworn the first use of such weapons and is taking steps to dispose of such weapons   the iraqi government does not support international terrorism   the iraqi government is in compliance with international law and   the president determines that such waiver is in u s national security interests requires the president to continue the trade embargo and other economic sanctions with respect to iraq and kuwait sets forth provisions concerning congressional notification with respect to the termination of sanctions prohibits any assistance made available pursuant to this act to carry out the foreign assistance act of   or the arms export control act to be provided to any country that is not in compliance with the united nations security council sanctions against iraq unless the president certifies to the congress that such assistance   is in the u s national interest   will directly benefit the needy people in such country or   will be humanitarian assistance for foreign nationals who have fled iraq and kuwait authorizes the president if the taking of such action would promote the effectiveness of economic sanctions against iraq to prohibit the importation into the united states of any products of a foreign country that has not prohibited the importation of iraqi products into its customs territory and the export of products to iraq prescribes civil and criminal penalties for violations of specified executive orders concerning sanctions against iraq calls for the immediate and unconditional withdrawal of iraqi forces from kuwait supports the efforts of the united nations security council and the imposition and enforcement of multilateral sanctions against iraq calls on u s allies and other countries to bring about an end to iraq s occupation of kuwait condemns iraq s human rights violations in kuwait directs the president to keep the congress fully informed and to consult with the congress with respect to current and anticipated events regarding iraq s invasion of kuwait permits the president to waive any sanction within   days after certifying to the congress that   there has been a fundamental change in the leadership of the iraqi government and   the iraqi government has provided assurances that it respects human rights will not acquire manufacture or use and will destroy chemical biological or nuclear weapons and ballistic missiles will not provide support for international terrorism and will comply with obligations under international law prohibits the use of funds appropriated by any act to approve the licensing for export of any supercomputer to any country that is assisting iraq in improving rocket technology or chemical biological or nuclear weapons capability directs the president to begin negotiations with governments with which the united states has bilateral supercomputer agreements on conditions restricting the transfer to iraq of supercomputer or associated technology requires the president to study and report to specified congressional committees on   the sale export and third party transfer or development of nuclear biological chemical and ballistic missile technology to or with iraq   iraq s offensive military capability and its effect on the middle east balance of power and   steps taken by other nations to curtail the export of goods services and technologies to iraq that might enhance iraq s nuclear biological chemical and ballistic missile capability directs the president to provide a complete accounting of international compliance with each of the united nations security council sanctions resolutions against iraq and to list each country that has provided any assistance to iraq and the amount and type of assistance in violation of each united nations resolution 	hr5114-101.1	44	 kuwait iraq
1	requires the delivery of excess defense articles to nato allies and major non nato allies on the southern and southeastern flank of nato to be given priority over the delivery of such articles to other countries prohibits six months after this act s enactment the expenditure of funds made available pursuant to this act to provide assistance to yugoslavia directs the secretary of the treasury to instruct the u s executive directors to international financial institutions to oppose any assistance to yugoslavia exempts from such prohibition assistance to support democratic parties or movements and emergency and humanitarian assistance makes such prohibition inapplicable if   all the individual republics of yugoslavia have held free and fair elections and are not engaged in a pattern of human rights violations or   the secretary of state certifies that yugoslavia is making significant strides toward complying with the helsinki accords and is encouraging any republic which has not held free and fair elections to do so 	hr5114-101.2	4	 yugoslavia
2	prohibits making available any esf or foreign military financing assistance for kenya unless the president reports to the congress that the kenyan government is taking steps to   charge and try or release all prisoners   cease physical abuse or mistreatment of prisoners   restore the independence of the judiciary and   restore freedoms of expression 	hr5114-101.3	2	 kenya
3	prohibits the obligation of funds for the european bank for reconstruction and development until the president reaches an agreement with the polish government or other creditors which accurately reflects the collectability of polish debts to the united states and adjusts the amount of debt and debt service payable to the united states subject to the following conditions   an imf agreement is in effect with respect to poland and it is the intent of the polish government to continue the program   the recent change of the polish government into a democracy is being maintained and   the polish government is seeking comparable treatment of public and private external debt 	hr5114-101.4	1	 poland
4	prohibits assistance to countries which fail to take steps to prevent illicit drugs from being sold to u s government personnel or from entering the united states illegally 	hr5114-101.5	0	None
5	requires agreements for the sale or provision of articles on the u s munitions list to expressly state that such articles will be provided only with the understanding that they will not be transferred to cyprus or used to further the severance or division of cyprus 	hr5114-101.6	2	 cyprus
6	limits the amount of military assistance for el salvador for fy   prohibits the provision of such assistance if the president reports to the congress that   the el salvadoran government has declined to participate in negotiations for a permanent settlement and cease fire to the armed conflict   the el salvadoran government has failed to support an active role for the united nations secretary general in mediating such settlement   the el salvadoran government has rejected a specified settlement plan   the el salvadoran government has failed to conduct an investigation into and prosecution of those responsible for the murders at the university of central america   the el salvadoran military and security forces are engaging in violent acts against civilians or are failing to control such activities by elements subject to their control or   the el salvadoran government has failed to seek and encourage a law enforcement service from outside el salvador to monitor el salvadoran investigators in their investigation into the murders at the university of central america provides for the resumption of such assistance pursuant to a law enacted by the congress withholds   percent of military assistance allocated for fy   releases such assistance only if   the farabundo marti national liberation front has declined to participate in settlement negotiations or has failed to support the secretary general s role in mediating such settlement   the fmln has rejected a specified settlement plan   the survival of the el salvadoran government is being jeopardized by fmln actions   proof exists that the fmln is continuing to acquire significant shipments of lethal military assistance from outside el salvador or   the fmln is engaging in violent acts against civilians or is failing to control such activities by elements subject to its control authorizes the expenditure of ten percent of the military assistance deposited in the demobilization and transition fund to carry out judicial reforms in el salvador if the president certifies to the congress that the el salvadoran government has made significant progress in establishing an independent civilian judiciary and prosecutorial and investigative system sets forth conditions for meeting the progress requirement prohibits u s assistance to el salvador if the elected head of the government is deposed by military coup or decree provides for the resumption of such assistance pursuant to a law enacted by the congress establishes the demobilization and transition fund to assist in monitoring a settlement of the conflict and in demobilizing combatants in such conflict and aiding their transition to peaceful pursuits makes amounts in the fund available only if the president notifies the congress that a permanent settlement of the conflict has been reached transfers withheld military assistance to the fund on the date of such notification or on september     if no notification has occurred 	hr5114-101.7	14	None
7	earmarks specified amounts of esf assistance for prohibits such funds from being provided to any country whose government engages in consistent human rights violations 	hr5114-101.8	0	None
8	prohibits any foreign military financing for zaire sudan liberia or somalia 	hr5114-101.9	3	somalia liberia sudan 
9	amends the foreign assistance act of   to require an additional section in the president s international narcotics control strategy report that   identifies the five countries that exported the largest amount of pseudoephedrine ephedrine and phenylpropanolamine   identifies the five countries that imported the largest amount of such chemicals and have the highest rate of diversion of such chemicals for the use in the illicit production of methamphetamine and   includes an economic analysis of the total worldwide production of such chemicals compared to the legitimate demand for such chemicals withholds   of the u s assistance allocated each fiscal year for countries so identified unless the country has either cooperated fully with the united states or has taken adequate steps on its own to achieve full compliance with established united nations goals and objectives unless the vital national interests of the united states prevent withholding such funds requires the secretary of state to submit to congress a comprehensive plan to address the diversion of chemicals to the illicit production of methamphetamine for each identified country for which the president has not submitted a certification of full cooperation 	hr3199-109.1	0	None
